Composition (at. %),Material condition,Processing history,Phase,Grain_size_um,Density_g_cm3,Hardness_GPa,Youngs_modulus_GPa,Yield_strength_MPa,UTS_MPa,Final_elongation_percent,Testing_temperature_K,Fracture_toughness_MPa_m0.5,Toughness_measure,Toughness_uncertainty_MPa_m0.5,Reference
Al2.60-C12.99-Co19.48-Cr12.99-Fe12.99-Ni19.48-Ti19.48,as-sintered,"SPS (1050°C, 30MPa, & 20min) + furnace-cooled",FCC+TiC,10.9,7.0,4.864272,,,,,298.0,24.0,KIC,,"Xin, B., Zhang, A., Han, J., Su, B. & Meng, J. Tuning composition and microstructure by doping Ti and C for enhancing mechanical property and wear resistance of Al0.2Co1.5CrFeNi1.5Ti0.5 high entropy alloy matrix composites. J. Alloys Compd. 836, doi:10.1016/j.jallcom.2020.155273 (2020)."
Al2.30-C17.24-Co17.24-Cr11.49-Fe11.49-Ni17.24-Ti22.99,as-sintered,"SPS (1050°C, 30MPa, & 20min) + furnace-cooled",FCC+TiC,,6.7,5.972462999999999,,,,,298.0,22.0,KIC,,"Xin, B., Zhang, A., Han, J., Su, B. & Meng, J. Tuning composition and microstructure by doping Ti and C for enhancing mechanical property and wear resistance of Al0.2Co1.5CrFeNi1.5Ti0.5 high entropy alloy matrix composites. J. Alloys Compd. 836, doi:10.1016/j.jallcom.2020.155273 (2020)."
Al2.06-C20.62-Co15.46-Cr10.31-Fe10.31-Ni15.46-Ti25.77,as-sintered,"SPS (1050°C, 30MPa, & 20min) + furnace-cooled",FCC+TiC,9.0,6.6,8.33595,,,,,298.0,17.0,KIC,,"Xin, B., Zhang, A., Han, J., Su, B. & Meng, J. Tuning composition and microstructure by doping Ti and C for enhancing mechanical property and wear resistance of Al0.2Co1.5CrFeNi1.5Ti0.5 high entropy alloy matrix composites. J. Alloys Compd. 836, doi:10.1016/j.jallcom.2020.155273 (2020)."
Co20.00-Cr20.00-Fe20.00-Mn20.00-Ni20.00,as-sintered,"SPS (1050°C, 30MPa, & 20min) + furnace-cooled",FCC,,,,,,,,298.0,45.8,KIC,,"Guo, Z., Zhang, A., Han, J. & Meng, J. Microstructure, mechanical and tribological properties of CoCrFeNiMn high entropy alloy matrix composites with addition of Cr3C2. Tribology International 151, doi:10.1016/j.triboint.2020.106436 (2020)."
C20.00-Co10.00-Cr40.00-Fe10.00-Mn10.00-Ni10.00,as-sintered,"SPS (1050°C, 30MPa, & 20min) + furnace-cooled",FCC+Cr7C3,,,,,,,,298.0,32.8,KIC,,"Guo, Z., Zhang, A., Han, J. & Meng, J. Microstructure, mechanical and tribological properties of CoCrFeNiMn high entropy alloy matrix composites with addition of Cr3C2. Tribology International 151, doi:10.1016/j.triboint.2020.106436 (2020)."
C20.00-Co10.00-Cr40.00-Fe10.00-Mn10.00-Ni10.00,as-sintered,"SPS (1050°C, 30MPa, & 20min) + furnace-cooled",FCC+Cr7C3,,,,,,,,298.0,26.2,KIC,,"Guo, Z., Zhang, A., Han, J. & Meng, J. Microstructure, mechanical and tribological properties of CoCrFeNiMn high entropy alloy matrix composites with addition of Cr3C2. Tribology International 151, doi:10.1016/j.triboint.2020.106436 (2020)."
C20.00-Co10.00-Cr40.00-Fe10.00-Mn10.00-Ni10.00,as-sintered,"SPS (1050°C, 30MPa, & 20min) + furnace-cooled",FCC+Cr7C3,,,,,,,,298.0,12.3,KIC,,"Guo, Z., Zhang, A., Han, J. & Meng, J. Microstructure, mechanical and tribological properties of CoCrFeNiMn high entropy alloy matrix composites with addition of Cr3C2. Tribology International 151, doi:10.1016/j.triboint.2020.106436 (2020)."
Co30.00-Cr10.00-Fe45.00-Ni5.00-V10.00,annealed,VIM + hot-rolled (1373-1173K & 60% reduction) + homogenized (1473K & 2h) + water-quenched + sand-blasted + cold-rolled (50% reduction) + annealed (1123K & 1h) + water-quenched,FCC to FCC+BCC+HCP martensitic transformation,6.0,,,218.5,687.0,1254.0,66.0,77.0,237.0,KIC,,"Jo, Y. H., Yang, J., Doh, K.-Y., An, W., Kim, D. W., Sung, H., Lee, D., Kim, H. S., Sohn, S. S. & Lee, S. Analysis of damage-tolerance of TRIP-assisted V10Cr10Fe45Co30Ni5 high-entropy alloy at room and cryogenic temperatures. J. Alloys Compd. 844, doi:10.1016/j.jallcom.2020.156090 (2020)."
Al16.67-B16.67-Co16.67-Cr16.67-Fe16.67-Ni16.67,as-sintered,"SPS (1100°C, 30MPa, & 10min)",BCC+boride (Fe2B+Cr2B+CrB),,,11.01,,,,,298.0,3.2,KIC,0.2,"Long, Y., Che, J., Wu, Z., Lin, H.-T. & Zhang, F. High entropy alloy borides prepared by powder metallurgy process and the enhanced fracture toughness by addition of yttrium. Mater. Chem. Phys. 257, doi:10.1016/j.matchemphys.2020.123715 (2021)."
Al16.39-B16.39-Co16.39-Cr16.39-Fe16.39-Ni16.39-Y1.64,as-sintered,"SPS (1100°C, 30MPa, & 10min)",BCC+boride (Fe2B+Cr2B+CrB),,,10.33,,,,,298.0,3.9,KIC,0.2,"Long, Y., Che, J., Wu, Z., Lin, H.-T. & Zhang, F. High entropy alloy borides prepared by powder metallurgy process and the enhanced fracture toughness by addition of yttrium. Mater. Chem. Phys. 257, doi:10.1016/j.matchemphys.2020.123715 (2021)."
Al16.13-B16.13-Co16.13-Cr16.13-Fe16.13-Ni16.13-Y3.23,as-sintered,"SPS (1100°C, 30MPa, & 10min)",BCC+boride (Fe2B+Cr2B+CrB),,,10.31,,,,,298.0,4.5,KIC,0.2,"Long, Y., Che, J., Wu, Z., Lin, H.-T. & Zhang, F. High entropy alloy borides prepared by powder metallurgy process and the enhanced fracture toughness by addition of yttrium. Mater. Chem. Phys. 257, doi:10.1016/j.matchemphys.2020.123715 (2021)."
